IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.243.27.217,2083,true,HKG,Asia Pacific,Hong Kong,63 ms,16381 kB/s
47.242.171.94,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,14787 kB/s
47.242.17.250,2053,true,HKG,Asia Pacific,Hong Kong,62 ms,10919 kB/s
47.242.171.94,2096,true,HKG,Asia Pacific,Hong Kong,69 ms,10222 kB/s
47.242.17.250,2083,true,HKG,Asia Pacific,Hong Kong,58 ms,10085 kB/s
8.219.209.14,2083,true,SIN,Asia Pacific,Singapore,229 ms,8953 kB/s
8.219.191.40,2053,true,SIN,Asia Pacific,Singapore,225 ms,8498 kB/s
8.219.156.148,8443,true,SIN,Asia Pacific,Singapore,238 ms,8360 kB/s
8.219.126.240,2096,true,SIN,Asia Pacific,Singapore,209 ms,8155 kB/s
8.219.124.227,8443,true,SIN,Asia Pacific,Singapore,241 ms,8152 kB/s
8.219.0.162,2053,true,SIN,Asia Pacific,Singapore,235 ms,8118 kB/s
8.219.124.227,2053,true,SIN,Asia Pacific,Singapore,245 ms,8084 kB/s
8.222.252.150,2053,true,SIN,Asia Pacific,Singapore,220 ms,8067 kB/s
47.236.7.106,8443,true,SIN,Asia Pacific,Singapore,279 ms,8019 kB/s
47.242.17.250,2096,true,HKG,Asia Pacific,Hong Kong,63 ms,7955 kB/s
8.219.126.240,2053,true,SIN,Asia Pacific,Singapore,239 ms,7941 kB/s
8.219.124.227,2083,true,SIN,Asia Pacific,Singapore,246 ms,7935 kB/s
47.236.150.13,2053,true,SIN,Asia Pacific,Singapore,218 ms,7899 kB/s
8.219.114.201,2096,true,SIN,Asia Pacific,Singapore,221 ms,7897 kB/s
47.236.253.41,2053,true,SIN,Asia Pacific,Singapore,273 ms,7895 kB/s
8.219.156.148,2083,true,SIN,Asia Pacific,Singapore,220 ms,7894 kB/s
8.219.156.148,2096,true,SIN,Asia Pacific,Singapore,240 ms,7752 kB/s
8.219.209.14,2087,true,SIN,Asia Pacific,Singapore,214 ms,7730 kB/s
